acc_x,acc_y,acc_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.102682066,0.080901699,0.096350735
0.149704009,0.095105652,0.168865585
0.115576986,0.030901699,0.199605346
0.018799985,-0.058778525,0.18096541
-0.088167788,-0.1,0.11755705
-0.147343088,-0.058778525,0.025066647
-0.126649189,0.030901699,-0.073624911
-0.037303483,0.095105652,-0.154102649
0.072263051,0.080901699,-0.19645745
0.142658477,3.67E-17,-0.190211303
0.135724058,-0.080901699,-0.136909421
0.055218683,-0.095105652,-0.049737977
-0.055218683,-0.030901699,0.049737977
-0.135724058,0.058778525,0.136909421
-0.142658477,0.1,0.190211303
-0.072263051,0.058778525,0.19645745
0.037303483,-0.030901699,0.154102649
0.126649189,-0.095105652,0.073624911
0.147343088,-0.080901699,-0.025066647
0.088167788,-7.35E-17,-0.11755705
-0.018799985,0.080901699,-0.18096541
-0.115576986,0.095105652,-0.199605346
-0.149704009,0.030901699,-0.168865585
-0.102682066,-0.058778525,-0.096350735
-1.10E-16,-0.1,-9.80E-17
0.102682066,-0.058778525,0.096350735
0.149704009,0.030901699,0.168865585
0.115576986,0.095105652,0.199605346
0.018799985,0.080901699,0.18096541
-0.088167788,1.10E-16,0.11755705
-0.147343088,-0.080901699,0.025066647
-0.126649189,-0.095105652,-0.073624911
-0.037303483,-0.030901699,-0.154102649
0.072263051,0.058778525,-0.19645745
0.142658477,0.1,-0.190211303
0.135724058,0.058778525,-0.136909421
0.055218683,-0.030901699,-0.049737977
-0.055218683,-0.095105652,0.049737977
-0.135724058,-0.080901699,0.136909421
